"6";"Истинное зрение [True seeing]";"6 круг, прорицание";"1 действие";"Касание";"В, С, М";"1 час";"(мазь для глаз, стоящая 25 зм, изготавливается из грибного порошка, шафрана и жира, расходуется заклинанием)Заклинание даёт согласному существу, которого вы коснулись, способность видеть вещи такими, какими они являются на самом деле. Пока заклинание активно, это существо обладает истинным зрением, видит потайные двери, сокрытые магией, и его зрение простирается на Эфирный План, и всё это в пределах 120 футов.<br>";"бард"
"9";"Истинное превращение [True polymorph]";"9 круг, преобразование";"1 действие";"30 футов";"В, С, М";"Концентрация, вплоть до 1 часа";"(капля ртути, немного гуммиарабика и клуб дыма)Выберите существо или немагический предмет, видимый в пределах дистанции. Вы превращаете существо в другое существо, существо в немагический предмет или предмет в существо (предмет не должно носить и нести другое существо). Превращение длится, пока активно заклинание, или пока хиты цели не опустятся до 0, или она не умрёт. Если вы концентрируетесь на заклинании его полную длительность, превращение длится, пока не будет рассеяно.<br>
Перевёртыши не попадают под действие этого заклинания. Несогласные существа могут совершить спасбросок Мудрости, и в случае успеха они не попадают под действие заклинания. Это заклинание не может подействовать на цель, у которой 0 хитов.<br>
<b>Существо в существо</b>. Если вы превращаете существо в другое существо, новый облик может быть любым, лишь бы его показатель опасности не превышал ПО цели (или её уровня, если у цели нет показателя опасности). Игровые характеристики цели, включая значения ментальных характеристик, заменяются характеристиками нового облика. У цели остаётся мировоззрение и характер.<br>
Цель принимает хиты нового облика. При возвращении в естественный облик количество его хитов будет как до превращения. Если оно возвращается в свой облик от того, что хиты опустились до 0, весь «лишний» урон перенесётся на естественный облик. Если «лишний» урон не опускает хиты естественного облика существа до 0, оно не теряет сознание.<br>
Действия существа в новом облике ограничены теми, что доступны ей, и она не может говорить, накладывать заклинания и совершать другие действия, требующие рук или речи, если только новый облик не способен выполнять такие действия.<br>
Снаряжение цели сливается с её новым обликом. Существо не может активировать, использовать, надевать или получать какие-то иные преимущества от своего снаряжения.<br>
<b>Предмет в существо</b>. Вы можете превратить предмет в любое существо, чей размер не превышает размер предмета, и чей показатель опасности не превышает 9. Существо будет дружелюбным по отношению к вам и вашим спутникам. Оно будет действовать в ваш ход. Вы сами решаете, какие действия оно будет совершать, и как будет перемещаться. Характеристики существа есть у Мастера, и он же решает, что получилось из его действий и перемещений.<br>
Если заклинание становится постоянным, вы перестаёте контролировать существо. Оно может остаться дружественным по отношению к вам, в зависимости от того, как вы с ним обращались.<br>
<b>Существо в предмет</b>. Если вы превращаете существо в предмет, оно превращается вместе с тем, что оно несёт и носит, если размер предмета не превышает размер существа. Его параметрами становятся параметры предмета, и существо не помнит о времени, проведённом в этом облике, когда заклинание оканчивается и оно обретает свой естественный облик.<br>";"бард"
"2";"Корона безумия [Crown of madness]";"2 круг, очарование";"1 действие";"120 футов";"В, С";"Концентрация, вплоть до 1 минуты";"Один гуманоид на ваш выбор, видимый вами в пределах дистанции должен преуспеть в спасброске Мудрости, иначе он станет очарованным вами на время действия заклинания. Пока цель очарована таким способом, на её голове появляется изогнутая железная корона, а в глазах светится безумие.<br>
Очарованная цель должна в каждый свой ход перед перемещением совершать действием рукопашную атаку по любому существу кроме себя, которое вы мысленно выбираете. Цель может действовать в свой ход как обычно, если вы не выбрали существо или в пределах его досягаемости нет других существ.<br>
В последующие ходы вы должны действием поддерживать контроль над целью, иначе заклинание оканчивается. Кроме того, цель в конце каждого своего хода может совершать спасброски Мудрости. В случае успеха заклинание оканчивается.<br>";"бард"
"3";"Крепость интеллекта [Intellect Fortress]";"3 круг, ограждение";"1 действие";"30 футов";"В";"Концентрация, вплоть до 1 часа";"В течение длительности заклинания вы или одно согласное существо, которое вы можете видеть в пределах дистанции, имеете сопротивление урону психической энергией, а также совершаете с преимуществом спасброски Интеллекта, Мудрости и Харизмы.<br>
<b>На больших уровнях.</b> Когда вы накладываете это заклинание, используя ячейку 4-го уровня или выше, вы можете сделать целью заклинания дополнительных существ, по одному за каждый уровень ячейки выше третьего. Все цели заклинания должны быть в пределах 30 футов друг от друга, вовремя накладывания заклинания.<br>";"бард(TCE)"
"5";"Круг телепортации [Teleportation circle]";"5 круг, вызов";"1 минута";"10 футов";"В, М";"1 раунд";"(редкие мелки и чернила с основой из драгоценных камней стоимостью 50 зм, расходуемые заклинанием)В процессе накладывания заклинания вы рисуете на полу круг диаметром 10 футов, исписанный знаками, связывающими ваше местоположение с постоянным кругом телепортации на ваш выбор, чью последовательность знаков вы знаете, и находящимся на том же плане существования, что и вы. В нарисованном круге появляется мерцающий портал, остающийся открытым до конца вашего следующего хода. Все существа, входящие в портал, мгновенно появляются в пределах 5 футов от места назначения или в ближайшем свободном пространстве, если то место занято.<br>
Во многих основных храмах, гильдиях и прочих важных местах есть постоянные круги телепортации, начертанные где-то на их территории. У каждого такого круга есть уникальная последовательность знаков — серия рун, начертанных в определённом узоре. Когда вы впервые получаете возможность накладывать это заклинание, вы изучаете последовательность знаков двух местонахождений на Материальном Плане, выбранных Мастером. Вы можете узнать дополнительные последовательности знаков во время приключений. Вы можете запомнить новую последовательность, изучая её 1 минуту.<br>
Вы можете создать постоянный круг телепортации, накладывая это заклинание в одном и том же месте каждый день в течение одного года. При этом вы не обязаны тут же использовать свежесозданный круг.<br>
";"бард"
"3";"Леомундова хижина [Leomund’s tiny hut]";"3 круг, воплощение (ритуал)";"1 минута";"На себя (полусфера с радиусом 10 футов)";"В, С, М";"8 часов";"(маленькая кристаллическая бусина)Над вами и вокруг вас появляется купол из силового поля радиусом 10 футов, остающийся неподвижным всё время существования. Заклинание оканчивается, если вы покидаете его область.<br>
Под куполом вместе с вами могут поместиться девять существ с размером не больше Среднего. Заклинание срывается, если в его область попадает существо большего размера или более девяти существ. Существа и предметы, находившиеся под куполом, когда вы наложили это заклинание, могут свободно проходить сквозь него. Все остальные существа и предметы не могут пройти сквозь него. Заклинания и прочие магические эффекты не могут простираться под купол и не могут быть наложены сквозь него. Атмосфера под ним сухая и комфортная, какой бы ни была погода снаружи.<br>
Пока заклинание активно, вы можете сделать пространство под ним тускло освещённым или погруженным во тьму. Купол снаружи матовый, любого цвета, но изнутри он прозрачный.<br>";"бард"
"1";"Лечащее слово [Healing word]";"1 круг, воплощение";"1 бонусное действие";"60 футов";"В";"Мгновенная";"Существо на ваш выбор, видимое в пределах дистанции, восстанавливает количество хитов, равное 1к4 + ваш модификатор базовой характеристики. Это заклинание не оказывает никакого эффекта на нежить и конструктов.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 2 уровня или выше, количество восстанавливаемых хитов увеличивается на 1к4 за каждый уровень ячейки выше первого.<br>";"бард"
"1";"Лечение ран [Cure wounds]";"1 круг, воплощение";"1 действие";"Касание";"В, С";"Мгновенная";"Существо, которого вы касаетесь, восстанавливает количество хитов, равное 1к8 + ваш модификатор базовой характеристики. Это заклинание не оказывает никакого эффекта на нежить и конструктов.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 2 уровня или выше, лечение увеличивается на 1к8 за каждый уровень ячейки выше первого.<br>";"бард"
"0";"Малая иллюзия [Minor illusion]";"Трюк, иллюзия";"1 действие";"30 футов";"С, М";"1 минута";"(кусок овечьей шерсти)Вы создаёте звук или образ предмета в пределах дистанции, существующий, пока активно заклинание. Иллюзия также оканчивается, если вы отпустите её действием или используете это заклинание ещё раз.<br>
Если вы создаёте звук, его громкость может быть как шепотом, так и криком. Это может быть ваш голос, чей-то другой голос, львиный рык, бой барабанов или любой другой звук. Звук звучит всю длительность заклинания, или вы можете создавать отдельные звуки в разное время, пока заклинание активно.<br>
Если вы создаёте образ предмета — например, стул, отпечаток в грязи, или небольшой сундук — он должен помещаться в куб с длиной ребра 5 футов. Образ не может издавать звуки, свет, запах или прочие сенсорные эффекты. Физическое взаимодействие с образом даёт понять, что это иллюзия, потому что сквозь него все проходит.<br>
Если существо действием исследует звук или образ, оно может понять, что это иллюзия, совершив успешную проверку Интеллекта (Расследование) против Сл ваших заклинаний. Если существо распознает иллюзию, она для него становится нечёткой.<br>";"бард"
"2";"Малое восстановление [Lesser restoration]";"2 круг, ограждение";"1 действие";"Касание";"В, С";"Мгновенная";"Вы касаетесь существа и можете окончить одну болезнь или одно состояние, в котором оно находится. Этим состоянием может быть глухота, отравление, паралич или слепота.<br>";"бард"
"1";"Маскировка [Disguise self]";"1 круг, иллюзия";"1 действие";"На себя";"В, С";"1 час";"Вы заставляете себя — включая одежду, доспехи, оружие и прочее имущество — выглядеть иначе, пока заклинание не окончится, или пока вы не окончите его преждевременно, действием. Вы можете выглядеть на 1 фут (30 сантиметров) выше или ниже, а также стать худым, толстым или получить среднее телосложение. Вы не можете менять основу тела, поэтому у новой формы должен быть такой же набор конечностей. Во всем остальном характер иллюзии определяете вы.<br>
Изменения, вызванные этим заклинанием, не выдерживают проверку физическим исследованием. Например, если вы добавили к своему снаряжению шляпу, предметы будут проходить сквозь нее, и все, кто к ней прикоснутся, либо ничего не почувствуют, либо почувствуют вашу голову и волосы. Если вы становитесь худее, то рука того, кто к вам тянется, наткнется на вас на полпути, ещё в воздухе.<br>
Для обнаружения того, что вы замаскированы, существо должно действием обследовать вашу внешность и преуспеть в проверке Интеллекта (Расследование) против вашей Сл заклинаний.<br>";"бард"
"5";"Ментальная связь Рэри [Rary’s telepathic bond]";"5 круг, прорицание (ритуал)";"1 действие";"30 футов";"В, С, М";"1 час";"(кусочки яичной скорлупы двух разных видов существ)Вы создаёте телепатическую связь между восемью согласными существами на ваш выбор в пределах досягаемости. Существа с Интеллектом 2 и ниже не попадают под действие этого заклинания. Пока заклинание активно, цели могут телепатически общаться посредством этой связи, даже если у них нет общего языка. Общение возможно на любом расстоянии, но оно не может простираться на другие планы существования.<br>";"бард (TCE)"
"0";"Меткий удар [True strike]";"Трюк, прорицание";"1 действие";"30 футов";"С";"Концентрация, вплоть до 1 раунда";"Вы вытягиваете руку и указываете пальцем на цель, находящуюся в пределах дистанции. Ваша магия даёт краткое понимание защит цели. В своем следующем ходу вы совершаете с преимуществом первый бросок атаки по цели, при условии, что заклинание к тому моменту не окончится.<br>";"бард"
"7";"Меч Морденкайнена [Mordenkainen’s sword]";"7 круг, воплощение";"1 действие";"60 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(миниатюрный платиновый меч с рукояткой и навершием из меди и цинка, стоящий 250 зм)Вы создаёте сгусток силового поля в форме меча, парящий в пределах дистанции. Он существует, пока активно заклинание.<br>
Когда меч появляется, вы совершаете рукопашную атаку заклинанием по цели на ваш выбор, находящейся в пределах 5 футов от меча. При попадании цель получает урон силовым полем 3к10. Пока заклинание активно, вы можете в каждом своём ходу бонусным действием перемещать меч на 20 футов в видимое место, и повторять эту атаку по той же самой или другой цели.<br>";"бард"
"4";"Мираж [Hallucinatory terrain]";"4 круг, иллюзия";"10 минут";"300 футов";"В, С, М";"24 часа";"(камень, ветка, и кусочек зеленого растения)Вы заставляете природную местность в пределах куба с длиной ребра 150 футов, находящегося в пределах дистанции, выглядеть, звучать и пахнуть как другая природная местность. Таким образом, поле или дорогу можно сделать похожей на болото, холм, расселину или другую труднопроходимую или непроходимую местность. Пруд можно сделать похожим на травяную лужайку, пропасть сделать пологим спуском, а каменистый овраг — широкой и ровной дорогой. Рукотворные строения, снаряжение и существа в области не меняют облик.<br>
Тактильные ощущения местности не меняются, поэтому существа, входящие в нее, скорее всего, поймут обман. Если на прикосновение разница не очевидна, существо, тщательно исследующее иллюзию, может предпринять проверку Интеллекта (Расследование) против Сл ваших заклинаний, чтобы не поверить. Существо, способное распознавать иллюзии, видит полупрозрачный образ, наложенный на местность.<br>";"бард"
"6";"Множественное внушение [Mass suggestion]";"6 круг, очарование";"1 действие";"60 футов";"В, М";"24 часа";"(язык змеи и либо кусочек медовых сот, либо капля сладкого масла)Вы внушаете определённый курс действий (ограниченный одной-двумя фразами) и магически влияете на двенадцать существ на свой выбор, видимых в пределах дистанции, которые могут слышать и понимать вас. Существа, которые не могут быть очарованы, обладают иммунитетом к этому эффекту. Внушение должно быть сформировано так, чтобы действие звучало разумным. Просьбы ударить себя мечом, броситься на копьё, сжечь себя, или как-то иначе причинить себе вред отменяют эффект заклинания.<br>
Каждая цель должна совершить спасбросок Мудрости. При провале она следует заданному курсу действий. Внушённые действия могут продолжаться всю длительность заклинания. Если внушённую деятельность можно выполнить за меньший срок, заклинание оканчивается, когда субъект оканчивает порученную задачу.<br>
Вы можете также указать условие, которое запустит особое действие во время действия заклинания. Например, вы можете внушить группе солдат, чтобы они отдали все свои деньги первому встреченному нищему.<br>
Если до окончания действия условие не будет выполнено, деятельность не совершается. Если вы или кто-то из ваших спутников причиняют урон существу, находящемуся под действием этого заклинания, для этого существа заклинание оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 7 уровня, длительность равна 10 дням. Если вы используете ячейку 8 уровня, длительность равна 30 дням. Если вы используете ячейку 9 уровня, длительность равна 1 году и 1 дню.<br>";"бард"
"3";"Множественное лечащее слово [Mass healing word]";"3 круг, воплощение";"1 бонусное действие";"60 футов";"В";"Мгновенная";"Вы произносите слова восстановления, и до шести существ на ваш выбор, видимых в пределах дистанции, восстанавливают хиты в количестве, равном 1к4 + ваш модификатор базовой характеристики. Это заклинание не оказывает никакого эффекта на нежить и конструктов.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 4 уровня или выше, восстанавливается дополнительно 1к4 хитов за каждый уровень ячейки выше 3.<br>";"бард (TCE)"
"5";"Множественное лечение ран [Mass cure wounds]";"5 круг, воплощение";"1 действие";"60 футов";"В, С";"Мгновенная";"Волна целительной энергии исходит из точки, выбранной вами в пределах дистанции. Выберите до шести существ в сфере с радиусом 30 футов с центром на этой точке. Все цели восстанавливают хиты в количестве, равном 3к8 + модификатор вашей базовой характеристики. Это заклинание не оказывает никакого эффекта на нежить и конструктов.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 6 уровня или выше, восстанавливается дополнительно 1к8 хитов за каждый уровень ячейки выше пятого.<br>";"бард"
"9";"Множественное превращение [Mass polymorph]";"9 круг, преобразование";"1 действие";"120 футов";"В, С, М";"Концентрация, вплоть до 1 часа";"(кокон гусеницы)Вы трансформируете до десяти существ по вашему выбору, которых вы можете видеть в пределах дистанции. Несогласная цель должна преуспеть в спасброске Мудрости, чтобы противостоять трансформации. Несогласный перевёртыш автоматически преуспевает в спасброске.<br>
Каждая цель принимает звериный облик по вашему выбору, вы можете выбрать один и тот же облик или разные для каждой цели. Новый облик может представлять собой любого зверя, которого вы видели, чей показатель опасности равен или меньше показателя опасности цели (или половины уровня цели, если у неё нет показателя опасности). Игровые параметры цели, включая ментальные способности, заменяются параметрами выбранного зверя, но цель сохраняет хиты, мировоззрение и личность.<br>
Каждая цель получает временные хиты в количестве, равном количеству хитов её нового облика. Эти временные хиты не могут быть замещены временными хитами, полученными из другого источника. Цель возвращается к своему нормальному облику, когда у неё больше нет временных хитов или когда она умирает. Если заклинание оканчивается раньше этого момента, существо теряет все свои временные хиты и возвращается к нормальному облику.<br>
Существо ограничено в действиях, которые оно может выполнять, природой своего нового облика. Оно не может говорить, колдовать заклинания или делать что-либо ещё, требующее рук или речи.<br>
Экипировка цели сливается с новым обликом. Цель не может активировать, использовать, держать или иным образом извлекать выгоду из любого своего снаряжения.<br>";"бард(XGE)"
"3";"Мотивирующая речь [Motivational Speech]";"3 круг, очарование";"1 минута";"60 футов";"В";"1 час";"- Однажды я слушал мотивирующую речь Джима, и это были худшие девяносто секунд в моей жизни. И что вообще, что Омин в нём нашёл?”<br>
- Волнат Данграсс<br>
Вы обращаетесь к союзникам, помощникам или невинным прохожим, чтобы замотивировать и вдохновить их на подвиги, независимо от того, есть ли у них для этого повод или нет.<br>
Выберите до пяти существ в пределах дистанции, которые могут вас слышать. На время действия заклинания, каждое замотивированное существо получает 5 временных хитов и получает преимущество на спасброски Мудрости. Если по замотивированному существу попадают атакой, то оно получает преимущество для следующего броска атаки, который оно совершит.<br>
Как только замотивированное существо теряет временные хиты, полученные от этого заклинания, то заклинание для него оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 4 уровня или выше, временные хиты увеличиваются на 5 за каждый уровень ячейки выше третьей.<br>";"бард"
"5";"Наблюдение [Scrying]";"5 круг, прорицание";"10 минут";"На себя";"В, С, М";"Концентрация, вплоть до 10 минут";"(фокусировка, стоящая как минимум 1 000 зм, такая, как хрустальный шар, серебряное зеркало или чаша со святой водой)Вы можете видеть и слышать конкретное выбранное вами существо, находящееся на том же плане существования, что и вы. Цель должна совершить спасбросок Мудрости, модифицируемый тем, как хорошо вы знаете цель, и тем, какая связь с этим существом у вас есть. Если цель знает, что вы накладываете это заклинание, она может добровольно провалить спасбросок, если хочет, чтобы за ней следили.<br>
<br/>
<br/>
<br/>При успехе цель не попадает под действие, и вы не можете использовать это заклинание на ней в течение 24 часов. При провале заклинание создаёт невидимый сенсор в пределах 10 футов от цели. Вы можете видеть и слышать через него, как если бы вы там находились. Сенсор перемещается вместе с целью, оставаясь в пределах 10 футов от неё, пока активно заклинание. Существа, способные видеть невидимые предметы, видят сенсор как светящийся шарик размером с ваш кулак. Вместо того чтобы нацеливаться на существо, вы можете выбрать целью место, уже видимое вами. В этом случае сенсор появляется в этом месте и не перемещается.<br>";"бард"
"8";"Находчивость [Glibness]";"8 круг, преобразование";"1 действие";"На себя";"В";"1 час";"Пока заклинание не окончится, каждый раз, когда вы совершаете проверку Харизмы, вы можете заменить выпавший результат числом «15». Кроме того, что бы вы ни говорили, магия, проверяющая, говорите ли вы правду, показывает, что вы искренни.<br>";"бард"
"2";"Небесные письмена [Skywrite]";"2 круг, преобразование (ритуал)";"1 действие";"В пределах видимости";"В, С";"Концентрация, вплоть до 1 часа";"В указанной вами части неба, которую вы можете видеть, возникает до десяти слов. Слова выглядят так, словно состоят из облаков, и остаются на одном месте, пока действует заклинание, после чего рассеиваются. Сильный ветер может рассеять их и досрочно закончить заклинание.<br>";"бард(XGE)"
"1";"Невидимое письмо [Illusory script]";"1 круг, иллюзия (ритуал)";"1 минута";"Касание";"С, М";"10 дней";"(свинцовые чернила, стоящие как минимум 10 зм, расходуемые заклинанием)Вы пишете на пергаменте, бумаге или другом подходящем материале, и накрываете его иллюзией, существующей, пока активно заклинание.<br>
Для вас и всех существ, указанных вами при накладывании заклинания, письмена кажутся обычными, написанными вашей рукой, и передающими тот самый смысл, который вкладывали вы. Для всех остальных письмена кажутся написанными на неизвестном или магическом языке, который невозможно прочитать. В качестве альтернативы вы можете заставить письмена поменять смысл, или сделать так, чтобы они выглядели написанными другой рукой или на другом языке, но язык при этом должен быть тем, который вы знаете.<br>
Если заклинание рассеять, исчезает и исходное письмо и иллюзия.<br>
Существо с истинным зрением может читать скрытое послание.<br>";"бард"
"2";"Невидимость [Invisibility]";"2 круг, иллюзия";"1 действие";"Касание";"В, С, М";"Концентрация, вплоть до 1 часа";"(ресница в смоле)Существо, которого вы касаетесь, становится невидимым до окончания действия заклинания. Все, что цель несет или носит, становится невидимым, пока остается у неё. Заклинание оканчивается на цели, если она совершает атаку или накладывает заклинание.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 3 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше второго.<br>";"бард"
"1";"Невидимый слуга [Unseen servant]";"1 круг, вызов (ритуал)";"1 действие";"60 футов";"В, С, М";"1 час";"(часть тетивы и кусочек дерева)Это заклинание создает невидимую, бессознательную и бесформенную силу Среднего размера, выполняющую отдаваемые вами простые поручения. Слуга появляется в свободном пространстве на земле в пределах дистанции. У него КД 10, 1 хит, Сила 2, и он не может атаковать. Если его хиты опускаются до 0, заклинание оканчивается.<br>
Один раз в каждом своем ходу вы можете бонусным действием отдать команду слуге переместиться на 15 футов и совершить манипуляции с каким-нибудь предметом. Слуга может выполнять простые задачи, доступные человеку, такие как подношение предметов, чистка, починка и складывание одежды, разжигание костра, подача пищи и разливание вина. Получив команду, слуга начинает её выполнять, стараясь изо всех сил, пока не выполнит, после чего начинает ждать вашу следующую команду.<br>
Если вы отдаёте слуге поручение, из-за которого тот окажется дальше чем в 60 футах от вас, заклинание оканчивается.<br>";"бард"
"3";"Необнаружимость [Nondetection]";"3 круг, ограждение";"1 действие";"Касание";"В, С, М";"8 часов";"(щепотка алмазной пыли, стоящая 25 зм, которой посыпается цель, расходуемая заклинанием)Пока заклинание активно, цель, которой вы коснулись, сокрыта от заклинаний школой Прорицания. Целью может быть согласное существо, место или предмет, не превышающий 10 футов ни по одному из линейных размеров. Цель не может стать целью магии школы Прорицания, и её не воспринимают магические наблюдательные сенсоры.<br>";"бард"
"6";"Неудержимая пляска Отто [Otto’s irresistible dance]";"6 круг, очарование";"1 действие";"30 футов";"В";"Концентрация, вплоть до 1 минуты";"Выберите одно существо, видимое в пределах дистанции. Цель начинает смешно танцевать на месте, шаркая ногами, притоптывая и подпрыгивая. Существа, которые не могут быть очарованы, обладают иммунитетом к этому заклинанию.<br>
Танцующее существо должно использовать всё своё перемещение на танец, не покидая своё пространство и получая помеху к спасброскам Ловкости и броскам атаки. Пока цель находится под действием этого заклинания, другие существа совершают с преимуществом броски атаки по нему. Танцующее существо может действием совершить спасбросок Мудрости, чтобы вернуть контроль над телом. При успехе заклинание заканчивается.<br>";"бард"
